Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp
,,812,5.91,812,7.02,812,8.1,812,9.06,812,9.91,812,10.64,812,11.38,811,11.98,812,12.67,812,13.3,812,13.9,811,14.47,811,15,811,15.52,811,15.98,811,16.48,811,16.9,811,17.35,811,17.75,811,18.13,811,18.51,811,18.88,811,19.2,811,19.54,811,19.85,811,20.15,811,20.43,811,20.71,810,20.99,811,21.27,810,21.52,811,21.8,811,22.12,811,22.44,811,22.8,811,23.17,811,23.51
,,812,5.91,812,7.02,812,8.1,812,9.08,812,9.89,812,10.64,812,11.38,812,12,812,12.67,811,13.3,812,13.9,812,14.47,812,15,811,15.52,812,15.98,811,16.48,811,16.92,811,17.35,811,17.75,811,18.14,811,18.51,811,18.87,811,19.2,811,19.54,811,19.85,811,20.15,811,20.43,811,20.72,811,20.99,811,21.26,811,21.52,810,21.8,811,22.12,811,22.45,811,22.81,811,23.17,811,23.51
,,812,5.91,812,7.03,812,8.07,811,9.08,812,9.89,812,10.65,811,11.38,812,12,812,12.66,812,13.3,812,13.9,812,14.47,812,15,811,15.52,811,15.99,811,16.48,811,16.92,811,17.35,811,17.75,811,18.14,812,18.52,811,18.87,811,19.21,811,19.53,811,19.86,811,20.15,811,20.43,811,20.72,811,20.98,811,21.26,811,21.52,811,21.8,811,22.12,811,22.45,810,22.81,811,23.17,810,23.51
,,812,5.91,812,7.03,812,8.07,812,9.09,812,9.89,812,10.65,812,11.38,812,12.01,811,12.66,812,13.3,811,13.9,812,14.47,811,15,811,15.52,811,15.99,812,16.49,811,16.91,812,17.35,811,17.75,811,18.15,811,18.52,811,18.86,811,19.21,811,19.53,811,19.86,811,20.15,811,20.43,811,20.73,811,20.98,811,21.26,811,21.52,811,21.8,811,22.12,811,22.44,811,22.81,811,23.17,811,23.51
,,812,5.91,812,7.02,811,8.08,812,9.09,812,9.89,811,10.64,812,11.38,812,12.01,812,12.67,812,13.3,812,13.89,812,14.47,812,14.99,812,15.52,811,15.99,812,16.49,811,16.91,811,17.36,812,17.75,811,18.15,811,18.52,811,18.86,811,19.21,811,19.53,811,19.85,811,20.15,811,20.43,811,20.73,811,20.99,811,21.26,811,21.52,811,21.8,811,22.12,811,22.44,811,22.81,811,23.18,811,23.51
,,812,5.91,811,7.02,812,8.08,812,9.08,811,9.9,812,10.64,812,11.38,811,12.02,812,12.67,812,13.3,812,13.89,811,14.47,811,14.99,812,15.52,811,15.99,811,16.49,811,16.91,811,17.36,811,17.76,811,18.13,811,18.52,811,18.87,811,19.21,811,19.53,811,19.85,811,20.16,811,20.44,811,20.72,810,20.99,811,21.24,810,21.52,811,21.8,811,22.12,811,22.45,811,22.81,810,23.18,811,23.52
,,812,5.91,812,7.03,812,8.09,812,9.09,812,9.9,812,10.64,812,11.38,812,12.02,812,12.68,811,13.3,812,13.91,812,14.47,811,15,811,15.52,812,15.99,811,16.49,811,16.91,811,17.35,811,17.76,811,18.14,811,18.52,811,18.87,811,19.21,811,19.54,811,19.85,810,20.16,811,20.44,811,20.72,811,20.99,811,21.24,811,21.52,810,21.8,811,22.13,811,22.45,811,22.81,811,23.17,811,23.52
,,812,5.91,812,7.03,812,8.09,811,9.09,812,9.91,812,10.64,812,11.39,812,12.01,812,12.68,811,13.31,812,13.91,811,14.47,812,15,811,15.52,811,15.99,811,16.48,811,16.92,811,17.35,811,17.76,811,18.14,812,18.51,811,18.88,811,19.21,811,19.54,811,19.85,811,20.16,811,20.44,811,20.72,811,20.99,811,21.26,811,21.52,811,21.8,810,22.13,811,22.45,810,22.82,811,23.17,811,23.52
,,812,5.93,812,7.03,812,8.1,812,9.1,812,9.91,812,10.65,812,11.39,812,12.01,811,12.68,812,13.32,811,13.91,812,14.47,811,15,811,15.52,811,15.99,812,16.48,811,16.92,812,17.35,811,17.76,811,18.13,811,18.51,811,18.88,811,19.21,811,19.55,811,19.85,811,20.16,811,20.44,810,20.72,811,20.99,811,21.26,811,21.52,811,21.8,811,22.13,811,22.45,811,22.82,811,23.18,811,23.52
,,811,5.93,812,7.03,811,8.1,812,9.1,812,9.91,811,10.65,812,11.39,812,12.02,812,12.68,812,13.32,812,13.91,812,14.47,811,15.01,812,15.51,811,15.99,811,16.5,811,16.91,811,17.35,812,17.76,811,18.13,811,18.51,811,18.89,811,19.21,811,19.55,811,19.85,811,20.15,811,20.44,811,20.73,811,20.99,811,21.26,811,21.52,811,21.8,811,22.12,811,22.46,811,22.81,811,23.18,811,23.53
,,812,5.93,812,7.03,812,8.1,812,9.09,811,9.91,812,10.65,812,11.39,811,12.02,812,12.68,812,13.3,811,13.92,811,14.47,811,15.01,811,15.51,811,15.99,811,16.5,812,16.91,811,17.35,811,17.76,811,18.12,811,18.51,811,18.89,811,19.22,811,19.54,811,19.86,811,20.15,811,20.44,811,20.73,810,20.98,811,21.26,811,21.53,811,21.8,811,22.12,811,22.46,811,22.81,811,23.18,811,23.53
,,812,5.93,812,7.04,812,8.1,812,9.09,812,9.91,812,10.65,812,11.39,812,12.02,812,12.68,811,13.3,812,13.92,812,14.47,812,15,811,15.52,812,15.99,811,16.48,811,16.92,811,17.36,811,17.76,811,18.12,811,18.53,811,18.88,811,19.22,811,19.54,811,19.86,811,20.16,811,20.45,811,20.73,811,20.98,811,21.27,811,21.53,810,21.8,811,22.12,811,22.45,811,22.82,811,23.17,811,23.53
,,812,5.93,812,7.04,812,8.1,811,9.11,812,9.91,812,10.66,812,11.4,812,12.02,811,12.69,812,13.3,812,13.92,811,14.48,812,15,811,15.52,811,15.99,811,16.5,811,16.92,811,17.36,811,17.76,811,18.14,811,18.53,811,18.88,811,19.21,811,19.54,811,19.86,811,20.16,811,20.45,811,20.73,811,21,810,21.27,811,21.53,811,21.8,811,22.12,811,22.45,810,22.82,811,23.17,811,23.52
,,812,5.93,812,7.05,812,8.1,812,9.11,812,9.92,812,10.65,812,11.4,812,12.03,811,12.69,812,13.3,811,13.92,812,14.48,812,14.99,812,15.53,811,16.01,812,16.5,811,16.93,812,17.36,811,17.77,811,18.14,811,18.53,811,18.88,811,19.21,811,19.53,811,19.86,811,20.16,811,20.43,811,20.73,811,21,811,21.26,811,21.51,811,21.8,811,22.13,811,22.46,811,22.81,811,23.17,811,23.52
,,811,5.95,812,7.05,811,8.1,812,9.11,812,9.92,811,10.65,812,11.4,812,12.03,812,12.68,812,13.31,812,13.93,812,14.48,812,14.99,812,15.53,811,16.01,811,16.48,811,16.93,811,17.36,812,17.77,811,18.15,811,18.53,811,18.88,811,19.21,811,19.53,811,19.86,811,20.14,811,20.43,811,20.73,811,21,811,21.26,811,21.51,811,21.8,811,22.13,811,22.46,811,22.81,811,23.17,811,23.5
,,812,5.95,811,7.05,812,8.1,812,9.11,811,9.92,812,10.64,812,11.4,811,12.03,812,12.68,812,13.31,812,13.93,811,14.48,811,15.01,811,15.53,811,16,811,16.48,811,16.92,811,17.36,811,17.77,811,18.15,811,18.53,811,18.88,811,19.21,811,19.54,811,19.85,811,20.14,811,20.43,811,20.73,811,21,811,21.27,811,21.52,811,21.8,811,22.12,811,22.46,811,22.82,811,23.16,811,23.5
,,812,5.95,812,7.05,812,8.11,812,9.12,812,9.92,812,10.64,812,11.4,812,12.03,811,12.69,811,13.32,812,13.92,812,14.48,812,15.01,811,15.53,812,16,811,16.49,811,16.93,811,17.36,811,17.77,811,18.15,811,18.53,811,18.88,811,19.22,811,19.54,811,19.85,811,20.14,811,20.42,811,20.73,811,21,811,21.27,811,21.52,811,21.81,811,22.12,811,22.46,811,22.83,811,23.16,811,23.52
,,812,5.95,812,7.05,812,8.11,811,9.12,812,9.93,812,10.65,811,11.4,812,12.03,812,12.69,812,13.32,812,13.92,812,14.47,812,15.02,811,15.54,811,16,811,16.49,811,16.93,811,17.37,811,17.77,811,18.15,811,18.52,811,18.88,811,19.22,811,19.53,811,19.86,811,20.14,811,20.42,811,20.73,811,21,811,21.26,811,21.53,811,21.8,811,22.13,811,22.45,810,22.83,811,23.18,810,23.52
,,812,5.96,812,7.05,812,8.12,811,9.12,812,9.93,812,10.65,811,11.4,812,12.02,811,12.69,812,13.33,811,13.92,812,14.47,811,15.02,812,15.54,811,16,812,16.5,811,16.92,812,17.37,811,17.76,811,18.15,811,18.52,811,18.88,811,19.22,811,19.53,811,19.86,811,20.16,811,20.44,810,20.74,811,20.99,811,21.26,811,21.53,811,21.8,811,22.13,811,22.45,811,22.81,811,23.18,811,23.53
,,811,5.96,812,7.05,811,8.11,812,9.12,812,9.93,811,10.67,812,11.4,812,12.02,812,12.69,812,13.33,811,13.92,812,14.48,812,15.02,812,15.54,811,16.01,811,16.5,811,16.92,811,17.36,812,17.76,811,18.15,811,18.53,811,18.89,811,19.21,811,19.54,811,19.86,811,20.16,811,20.44,811,20.74,811,21.01,811,21.27,811,21.53,811,21.79,811,22.12,811,22.45,811,22.81,811,23.18,811,23.53
,,812,5.96,811,7.05,812,8.11,812,9.12,811,9.92,812,10.67,812,11.41,812,12.03,812,12.69,812,13.31,811,13.93,812,14.48,811,15.02,812,15.54,811,16.01,811,16.49,811,16.92,811,17.36,811,17.76,811,18.15,811,18.53,811,18.89,811,19.21,811,19.54,811,19.86,811,20.15,811,20.44,811,20.72,810,21.01,811,21.27,810,21.53,811,21.79,811,22.12,811,22.45,811,22.81,811,23.18,811,23.52
,,812,5.97,812,7.06,812,8.1,812,9.12,812,9.92,812,10.66,812,11.41,812,12.03,812,12.69,811,13.31,812,13.93,812,14.49,812,15.03,812,15.55,812,16.01,811,16.49,811,16.92,811,17.37,811,17.76,811,18.15,811,18.53,811,18.89,811,19.22,811,19.54,811,19.86,811,20.15,811,20.44,811,20.72,811,21,811,21.26,811,21.53,810,21.8,811,22.13,811,22.46,811,22.81,811,23.19,811,23.52
,,812,5.97,812,7.06,812,8.1,811,9.13,812,9.92,812,10.66,811,11.41,812,12.03,812,12.69,812,13.33,812,13.93,812,14.49,812,15.03,811,15.55,812,16.01,811,16.5,811,16.93,811,17.37,811,17.78,811,18.16,812,18.53,811,18.88,811,19.22,811,19.54,811,19.86,811,20.16,811,20.44,811,20.73,811,21,811,21.26,811,21.53,811,21.8,810,22.13,811,22.46,810,22.83,811,23.19,811,23.53
,,812,5.96,812,7.07,812,8.11,812,9.13,812,9.92,812,10.66,812,11.41,812,12.03,811,12.69,812,13.33,811,13.92,812,14.49,811,15.03,812,15.54,811,16.02,812,16.5,811,16.93,812,17.36,811,17.78,811,18.16,811,18.54,811,18.88,811,19.23,811,19.54,811,19.87,811,20.16,811,20.44,811,20.73,811,20.99,811,21.27,811,21.53,811,21.81,811,22.13,811,22.46,811,22.83,811,23.19,811,23.53
,,811,5.96,812,7.07,812,8.11,812,9.12,812,9.94,811,10.66,812,11.42,812,12.04,812,12.69,812,13.33,812,13.92,812,14.49,811,15.03,812,15.54,811,16.02,811,16.5,811,16.93,811,17.36,812,17.77,811,18.14,811,18.54,811,18.89,811,19.23,811,19.54,811,19.87,811,20.16,811,20.44,811,20.74,811,20.99,811,21.27,811,21.53,811,21.81,811,22.13,811,22.45,811,22.82,811,23.19,811,23.53
,,812,5.96,812,7.07,812,8.13,812,9.14,811,9.94,812,10.67,812,11.42,811,12.04,812,12.69,812,13.33,812,13.92,811,14.49,811,15.02,812,15.55,811,16.01,811,16.5,812,16.93,811,17.37,811,17.77,811,18.14,811,18.54,811,18.89,811,19.23,811,19.55,811,19.86,811,20.16,811,20.44,811,20.74,811,21,811,21.27,811,21.53,811,21.8,811,22.13,811,22.45,811,22.82,810,23.19,811,23.53
,,812,5.96,812,7.06,812,8.13,812,9.14,812,9.94,812,10.67,812,11.41,812,12.04,812,12.69,811,13.34,812,13.92,812,14.49,811,15.02,811,15.55,812,16.01,811,16.5,811,16.93,811,17.36,811,17.78,811,18.16,811,18.54,811,18.89,811,19.23,811,19.55,811,19.86,811,20.17,811,20.44,811,20.74,811,21,811,21.26,811,21.53,811,21.8,811,22.13,811,22.45,811,22.83,811,23.19,811,23.53
,,812,5.98,812,7.06,812,8.13,811,9.14,812,9.94,812,10.66,811,11.41,812,12.04,812,12.7,812,13.34,812,13.93,812,14.49,812,15.02,811,15.55,811,16.01,811,16.5,811,16.93,811,17.36,811,17.78,811,18.15,812,18.54,811,18.89,811,19.23,811,19.56,811,19.86,811,20.17,811,20.44,811,20.74,811,21.01,811,21.26,811,21.53,811,21.81,811,22.14,811,22.45,810,22.83,811,23.2,811,23.53
,,812,5.98,812,7.06,812,8.13,812,9.14,812,9.94,812,10.66,812,11.41,812,12.04,811,12.7,812,13.34,811,13.93,812,14.49,812,15.03,812,15.54,811,16.02,812,16.5,811,16.93,812,17.37,811,17.78,812,18.15,811,18.54,811,18.9,811,19.23,811,19.56,811,19.86,811,20.17,811,20.44,810,20.73,811,21.01,811,21.27,811,21.53,811,21.81,811,22.13,811,22.45,811,22.83,811,23.2,811,23.54
,,811,5.97,812,7.06,811,8.13,812,9.13,812,9.94,811,10.67,812,11.42,812,12.04,812,12.7,812,13.34,812,13.94,812,14.5,812,15.03,812,15.54,811,16.02,811,16.5,811,16.93,811,17.37,811,17.78,811,18.14,811,18.54,811,18.9,811,19.24,811,19.55,810,19.87,811,20.17,811,20.44,811,20.73,811,21.01,811,21.27,811,21.53,811,21.81,811,22.13,811,22.45,811,22.83,811,23.19,811,23.54
,,812,5.97,811,7.07,812,8.13,812,9.13,811,9.94,812,10.67,812,11.42,811,12.05,812,12.7,812,13.34,812,13.94,811,14.5,811,15.03,812,15.54,811,16,811,16.51,812,16.94,811,17.36,811,17.78,811,18.14,811,18.54,811,18.9,811,19.24,811,19.55,811,19.87,811,20.16,811,20.44,811,20.74,811,21.01,811,21.27,811,21.53,811,21.81,811,22.13,811,22.46,811,22.82,811,23.19,811,23.55
,,812,5.99,812,7.07,812,8.13,812,9.14,812,9.94,812,10.67,812,11.42,812,12.05,812,12.71,811,13.33,812,13.94,811,14.49,812,15.03,811,15.54,812,16,811,16.5,811,16.94,811,17.36,811,17.78,811,18.14,811,18.54,811,18.9,811,19.23,811,19.56,811,19.86,811,20.16,811,20.44,811,20.74,811,21.01,811,21.27,811,21.54,811,21.81,811,22.13,811,22.46,811,22.82,811,23.2,811,23.55
,,812,5.99,812,7.08,812,8.13,811,9.14,812,9.94,812,10.68,811,11.42,812,12.05,812,12.71,812,13.33,812,13.94,812,14.49,812,15.03,811,15.55,811,16.02,811,16.5,811,16.94,811,17.37,811,17.78,811,18.14,812,18.55,811,18.9,811,19.23,811,19.56,811,19.87,811,20.17,811,20.44,811,20.73,811,21.01,811,21.28,811,21.53,811,21.81,811,22.14,811,22.46,811,22.84,811,23.2,810,23.54
,,812,5.99,812,7.08,812,8.14,812,9.15,812,9.94,812,10.68,812,11.42,812,12.05,811,12.71,812,13.34,811,13.94,812,14.5,812,15.03,811,15.55,811,16.02,811,16.51,811,16.94,812,17.37,811,17.78,812,18.16,811,18.55,811,18.9,811,19.23,811,19.55,811,19.87,811,20.17,811,20.44,811,20.73,811,21.01,811,21.28,811,21.53,811,21.82,810,22.14,811,22.46,811,22.84,811,23.2,811,23.54
,,811,5.99,812,7.08,811,8.14,812,9.15,812,9.94,811,10.67,812,11.42,812,12.05,812,12.71,812,13.34,812,13.94,812,14.5,811,15.03,812,15.55,811,16.03,811,16.51,811,16.95,811,17.37,812,17.79,811,18.16,811,18.55,811,18.9,811,19.23,812,19.57,811,19.86,811,20.17,811,20.45,811,20.74,811,21.01,811,21.28,811,21.53,811,21.82,811,22.14,811,22.47,811,22.83,811,23.19,811,23.54
,,812,5.99,811,7.08,812,8.14,812,9.16,812,9.94,812,10.67,812,11.42,812,12.06,812,12.71,812,13.35,812,13.96,812,14.5,811,15.03,811,15.55,811,16.03,811,16.49,811,16.95,811,17.37,811,17.79,811,18.16,811,18.55,811,18.9,811,19.23,811,19.57,811,19.86,811,20.16,811,20.44,811,20.74,811,21,811,21.28,811,21.53,811,21.82,811,22.14,811,22.47,811,22.83,811,23.19,811,23.53
,,812,5.99,812,7.09,812,8.14,812,9.16,812,9.95,812,10.68,812,11.42,812,12.06,812,12.71,811,13.35,812,13.96,811,14.5,811,15.04,811,15.55,812,16.02,811,16.49,811,16.94,811,17.37,811,17.78,811,18.16,811,18.54,811,18.89,811,19.22,811,19.56,811,19.86,811,20.16,811,20.44,811,20.73,811,21,811,21.28,811,21.54,810,21.82,811,22.14,811,22.46,811,22.83,811,23.18,811,23.53
,,812,6,812,7.09,812,8.15,811,9.15,812,9.95,812,10.68,811,11.43,812,12.04,812,12.71,812,13.35,812,13.95,811,14.5,812,15.04,811,15.55,811,16.02,811,16.52,811,16.94,811,17.37,811,17.79,811,18.15,811,18.54,811,18.89,811,19.22,811,19.56,811,19.86,811,20.17,811,20.43,811,20.73,811,21.02,811,21.28,811,21.54,811,21.82,811,22.14,811,22.46,810,22.84,811,23.18,811,23.53
,,812,6,812,7.09,812,8.16,812,9.15,812,9.95,812,10.68,812,11.43,812,12.04,811,12.71,812,13.35,811,13.95,812,14.48,812,15.03,812,15.56,811,16.02,812,16.52,811,16.94,812,17.38,811,17.79,811,18.15,811,18.55,811,18.9,811,19.22,811,19.55,811,19.88,811,20.17,811,20.43,811,20.74,811,21.02,811,21.27,811,21.55,811,21.82,811,22.13,811,22.47,811,22.84,811,23.19,811,23.53
,,811,6,812,7.09,812,8.16,812,9.16,812,9.95,812,10.68,812,11.43,812,12.07,812,12.71,812,13.35,811,13.95,812,14.48,812,15.03,812,15.56,811,16.02,811,16.52,811,16.94,812,17.38,812,17.77,811,18.16,811,18.55,811,18.9,811,19.22,811,19.55,811,19.88,811,20.17,811,20.45,811,20.74,811,21.01,811,21.27,811,21.55,811,21.82,811,22.13,811,22.47,811,22.84,811,23.19,811,23.54
,,812,6.02,812,7.1,812,8.14,812,9.16,811,9.95,812,10.69,812,11.43,812,12.07,812,12.71,812,13.35,812,13.96,812,14.5,811,15.03,812,15.56,811,16.03,811,16.52,811,16.94,811,17.39,811,17.77,811,18.16,811,18.55,811,18.91,811,19.23,811,19.57,811,19.87,811,20.17,811,20.45,811,20.74,811,21.01,811,21.28,811,21.54,811,21.82,811,22.14,811,22.47,811,22.84,811,23.2,811,23.54
,,812,6.02,812,7.1,812,8.14,812,9.16,812,9.95,812,10.69,812,11.44,812,12.07,812,12.71,811,13.36,812,13.96,812,14.5,811,15.03,811,15.56,812,16.03,811,16.51,811,16.94,811,17.39,811,17.79,811,18.16,811,18.55,811,18.92,811,19.23,811,19.57,811,19.87,811,20.17,811,20.44,811,20.74,811,21.01,811,21.28,811,21.54,811,21.82,811,22.14,811,22.47,811,22.82,811,23.2,811,23.54
,,812,6,812,7.1,812,8.15,811,9.16,812,9.95,812,10.69,811,11.44,812,12.07,812,12.71,812,13.36,812,13.95,811,14.5,811,15.05,811,15.55,811,16.04,811,16.51,811,16.94,811,17.38,811,17.79,811,18.16,812,18.54,811,18.92,811,19.24,811,19.56,811,19.87,811,20.17,811,20.44,811,20.74,811,21.01,811,21.28,811,21.54,811,21.82,811,22.15,811,22.47,811,22.82,811,23.2,810,23.54
,,812,6,812,7.1,812,8.15,812,9.16,812,9.96,812,10.69,812,11.44,812,12.07,811,12.71,812,13.35,811,13.95,812,14.5,811,15.05,811,15.55,811,16.04,812,16.53,811,16.95,812,17.38,811,17.79,811,18.16,811,18.54,811,18.89,811,19.24,811,19.56,811,19.87,811,20.18,811,20.45,811,20.74,811,21.01,811,21.28,811,21.54,811,21.82,811,22.15,811,22.47,811,22.84,811,23.2,811,23.54
,,811,6.02,812,7.1,812,8.15,812,9.17,812,9.96,811,10.69,812,11.44,812,12.07,812,12.72,812,13.35,812,13.96,812,14.51,811,15.05,812,15.56,811,16.03,811,16.53,811,16.95,811,17.39,811,17.79,811,18.16,811,18.55,811,18.89,811,19.24,811,19.57,811,19.88,811,20.18,811,20.45,811,20.74,811,21.01,811,21.28,811,21.54,811,21.82,811,22.14,811,22.47,811,22.84,811,23.19,811,23.54
,,812,6.02,811,7.11,811,8.15,812,9.17,811,9.97,812,10.69,812,11.43,811,12.08,812,12.72,812,13.36,812,13.96,812,14.51,811,15.05,811,15.56,811,16.03,811,16.51,812,16.95,811,17.39,811,17.79,811,18.15,811,18.55,811,18.9,811,19.24,811,19.57,811,19.88,811,20.17,810,20.46,811,20.74,811,21.01,811,21.28,811,21.54,811,21.82,811,22.14,811,22.46,811,22.85,810,23.19,811,23.55
,,812,6.03,812,7.11,812,8.16,812,9.17,812,9.97,812,10.7,812,11.43,811,12.08,812,12.72,811,13.36,812,13.96,811,14.51,812,15.04,812,15.57,812,16.03,811,16.51,811,16.95,811,17.39,811,17.79,811,18.15,811,18.55,811,18.9,811,19.23,811,19.57,811,19.88,811,20.17,811,20.46,811,20.74,811,21.01,811,21.28,811,21.54,811,21.83,811,22.14,811,22.46,811,22.85,811,23.2,811,23.55
,,812,6.03,812,7.1,812,8.16,811,9.17,812,9.97,812,10.7,811,11.44,812,12.07,812,12.72,812,13.36,812,13.96,812,14.51,812,15.04,811,15.57,811,16.03,811,16.52,811,16.96,811,17.39,811,17.79,811,18.16,812,18.56,811,18.92,811,19.23,811,19.57,811,19.88,811,20.18,811,20.45,811,20.75,811,21.01,811,21.28,811,21.54,811,21.83,811,22.14,811,22.46,810,22.84,811,23.2,811,23.55
,,812,6.04,812,7.1,812,8.17,812,9.17,812,9.97,812,10.7,812,11.44,812,12.07,811,12.72,812,13.37,811,13.97,812,14.52,812,15.05,811,15.57,811,16.03,811,16.52,811,16.96,812,17.39,811,17.79,812,18.16,811,18.56,811,18.92,811,19.25,811,19.57,811,19.88,811,20.18,811,20.45,811,20.75,811,21.01,811,21.28,811,21.53,811,21.83,810,22.14,811,22.46,811,22.84,811,23.2,811,23.55
,,811,6.04,812,7.11,811,8.17,812,9.17,812,9.97,811,10.7,812,11.43,812,12.07,812,12.72,812,13.37,812,13.97,812,14.52,812,15.05,812,15.55,811,16.03,811,16.53,811,16.95,811,17.38,811,17.8,811,18.16,811,18.55,811,18.92,811,19.25,811,19.57,811,19.88,811,20.18,811,20.45,811,20.75,811,21.01,811,21.29,811,21.53,811,21.83,811,22.15,811,22.48,811,22.86,811,23.2,811,23.54
